sample	age_s	events	focus	frame	detect	draw	to_labels	provenance	mode
1	0	?	3.57	5.00	0.67	4.42	14.00	collection	daemon
2	10	?	2.79	5.27	1.28	3.42	13.21	collection	daemon
3	20	?	3.20	5.06	0.67	3.40	12.62	collection	daemon
4	30	?	3.13	13.00	3.51	8.10	28.00	collection	daemon
5	40	?	3.17	5.17	3.39	8.82	20.92	collection	daemon
6	50	?	3.09	5.23	0.79	3.89	13.09	collection	daemon
7	60	?	2.24	5.14	11.56	9.78	29.03	collection	daemon
8	70	?	2.99	4.55	3.34	7.87	19.15	collection	daemon
9	81	?	3.02	4.92	2.83	13.79	25.00	collection	daemon
10	91	?	3.06	5.29	1.11	3.75	13.37	collection	daemon
11	101	?	3.13	3.12	2.77	11.27	20.55	collection	daemon
12	111	?	1.26	2.96	2.68	8.05	15.27	collection	daemon
c1	0	0	0.43	1.20	0.86	2.74	6.50	collection	oneshot
c2	0	0	0.32	1.09	0.67	3.40	6.33	collection	oneshot
c3	0	0	0.31	1.64	0.69	2.77	6.72	collection	oneshot
